,tickers,caps
0,AA,6.62B
1,AACC,
2,AAI,
3,AAII,
4,AAME,79.62M
5,AAN,1.92B
6,AAON,1.81B
7,AAP,11.90B
8,AAPL,712.06B
9,AATI,
10,AAWW,1.34B
11,AB,2.34B
12,ABAT,
13,ABAX,1.12B
14,ABBC,
15,ABC,19.72B
16,ABCB,1.70B
17,ABCO,1.85B
18,ABCW,
19,ABD,
20,ABDS,
21,ABFS,
22,ABG,1.50B
23,ABH.Z,
24,ABII,
25,ABIO,23.16M
26,ABK,
27,ABL,
28,ABM,2.24B
29,ABMC,3.84M
30,ABMD,5.06B
31,ABR,376.26M
32,ABT,65.80B
33,ABTL,143.16M
34,ABVA,
35,ACAD,4.76B
36,ACAP,
37,ACAT,242.28M
38,ACC,6.55B
39,ACCL,
40,ACET,472.92M
41,ACF,
42,ACFC,117.78M
43,ACFN,10.56M
44,ACGL,11.39B
45,ACHN,583.62M
46,ACI,
47,ACIW,2.33B
48,ACLI,
49,ACLS,466.37M
50,ACM,5.86B
51,ACMR,
52,ACO,
53,ACOR,1.15B
54,ACPW,
55,ACS.Z,
56,ACTG,297.73M
57,ACTI,
58,ACTL,69921.7
59,ACTU,
60,ACU,83.22M
61,ACUR,10.18M
62,ACV,
63,ACXM,2.28B
64,ACY,16.21M
65,ADAM,
66,ADAT,14.55M
67,ADBE,59.13B
68,ADC,1.15B
69,ADCT,
70,ADEP,
71,ADES,255.65M
72,ADG,
73,ADGF,
74,ADI,25.50B
75,ADK,28.29M
76,ADLR,
77,ADLS,2157.4
78,ADM,26.05B
79,ADMP,75.54M
80,ADP,44.75B
81,ADPI,
82,ADPT,123.13M
83,ADS,13.54B
84,ADSK,19.23B
85,ADTN,1.05B
86,ADUS,390.99M
87,ADVN.B,
88,ADVS,
89,AE,173.74M
90,AEA,
91,AEC,
92,AEE,12.95B
93,AEHR,68.40M
94,AEIS,2.44B
95,AEL,2.40B
96,AEN,
97,AEO,2.78B
98,AEP,31.52B
99,AEPI,
100,AERG,5.26M
101,AERO,94.07M
102,AERT,8.96M
103,AES,7.55B
104,AET,44.06B
105,AETI,15.42M
106,AEY,18.33M
107,AEZ,
108,AF,1.90B
109,AFAM,489.73M
110,AFCE,
111,AFFM,
112,AFFX,
113,AFFY,2.42M
114,AFG,8.12B
115,AFL,28.85B
116,AFOP,
117,AFP,
118,AFSI,4.66B
119,AGAM,
120,AGCO,5.11B
121,AGEN,392.94M
122,AGII,2.00B
123,AGL,
124,AGM,611.79M
125,AGN,92.78B
126,AGNC,
127,AGO,5.34B
128,AGP,
129,AGX,1.09B
130,AGYS,216.60M
131,AHC,139.81M
132,AHCI,
133,AHD,
134,AHGP,1.83B
135,AHII,9.98
136,AHL,3.39B
137,AHPI,8.99M
138,AHR,
139,AHS,
140,AHT,735.76M
141,AI,346.10M
142,AIG,62.21B
143,AIM,
144,AIMC,1.03B
145,AIN,1.52B
146,AIPC,
147,AIQ,110.04M
148,AIR,1.15B
149,AIRM,1.41B
150,AIRN,
151,AIRT,44.92M
152,AIRV,
153,AIS,
154,AIT,2.44B
155,AIV,7.03B
156,AIZ,5.38B
157,AJG,10.17B
158,AKAM,10.78B
