,trends100avgmnthlystockpricerisefall,caps,logcaps,Financials,Consumer Discretionary,Industrials,Information Technology,HealthCare,Energy,Consumer Staples,Utilities,Materials,Telecommunications Services,Health Care
A,1,17210000000.0,23.5687564472,0,0,0,0,1,0,0,0,0,0,1
AAL,-1,21050000000.0,23.7701663971,0,0,1,0,0,0,0,0,0,0,0
AAP,7,11250000000.0,23.1436339656,0,1,0,0,0,0,0,0,0,0,0
AAPL,10,7.3698e+11,27.3258265917,0,0,0,1,0,0,0,0,0,0,0
ABBV,2,1.0535e+11,25.3805539772,0,0,0,0,1,0,0,0,0,0,1
ABC,1,19400000000.0,23.688538903,0,0,0,0,1,0,0,0,0,0,1
ABT,0,77280000000.0,25.0707010269,0,0,0,0,1,0,0,0,0,0,1
ADBE,-2,60270000000.0,24.8221003044,0,0,0,1,0,0,0,0,0,0,0
ADI,0,25720000000.0,23.9705347363,0,0,0,1,0,0,0,0,0,0,0
ADM,2,25480000000.0,23.9611596677,0,0,0,0,0,0,1,0,0,0,0
ADP,2,46730000000.0,24.5676521937,0,0,0,1,0,0,0,0,0,0,0
ADS,5,13730000000.0,23.3428490567,0,0,0,1,0,0,0,0,0,0,0
ADSK,1,19250000000.0,23.6807768977,0,0,0,1,0,0,0,0,0,0,0
AEP,1,32530000000.0,24.2054285774,0,0,0,0,0,0,0,1,0,0,0
AES,-1,7440000000.0,22.7301366858,0,0,0,0,0,0,0,1,0,0,0
AET,0,46970000000.0,24.572774937,0,0,0,0,1,0,0,0,0,0,1
AFL,1,29100000000.0,24.0940040111,1,0,0,0,0,0,0,0,0,0,0
AGN,1,80680000000.0,25.11375655,0,0,0,0,1,0,0,0,0,0,1
AIG,-3,61840000000.0,24.8478162412,1,0,0,0,0,0,0,0,0,0,0
AIZ,0,5480000000.0,22.4243709379,1,0,0,0,0,0,0,0,0,0,0
AJG,-1,10170000000.0,23.042708047,1,0,0,0,0,0,0,0,0,0,0
AKAM,3,11200000000.0,23.1391796152,0,0,0,1,0,0,0,0,0,0,0
ALB,-1,11750000000.0,23.1871190775,0,0,0,0,0,0,0,0,1,0,0
ALK,0,11650000000.0,23.178572017,0,0,1,0,0,0,0,0,0,0,0
ALL,3,30290000000.0,24.134083462,1,0,0,0,0,0,0,0,0,0,0
ALXN,-3,27380000000.0,24.0330786568,0,0,0,0,1,0,0,0,0,0,1
AMAT,-1,42100000000.0,24.4633135776,0,0,0,1,0,0,0,0,0,0,0
AME,1,12440000000.0,23.2441829243,0,0,1,0,0,0,0,0,0,0,0
AMG,0,9400000000.0,22.9639755262,1,0,0,0,0,0,0,0,0,0,0
AMGN,-3,1.3221e+11,25.6076574045,0,0,0,0,1,0,0,0,0,0,1
AMP,1,20620000000.0,23.7495273155,1,0,0,0,0,0,0,0,0,0,0
AMT,0,49170000000.0,24.6185495184,0,0,0,0,0,0,0,0,0,0,0
AMZN,6,4.0683e+11,26.7316612447,0,1,0,0,0,0,0,0,0,0,0
AN,3,4560000000.0,22.2405884605,0,1,0,0,0,0,0,0,0,0,0
ANTM,3,44310000000.0,24.5144762222,0,0,0,0,1,0,0,0,0,0,1
AON,0,31300000000.0,24.1668839345,1,0,0,0,0,0,0,0,0,0,0
APA,1,19390000000.0,23.6880233062,0,0,0,0,0,1,0,0,0,0,0
APC,-3,35460000000.0,24.2916711376,0,0,0,0,0,1,0,0,0,0,0
APD,-1,29980000000.0,24.1237963296,0,0,0,0,0,0,0,0,1,0,0
APH,-2,22010000000.0,23.8147627325,0,0,0,1,0,0,0,0,0,0,0
ATVI,2,37000000000.0,24.3341837496,0,0,0,1,0,0,0,0,0,0,0
AVB,0,25210000000.0,23.9505065781,0,0,0,0,0,0,0,0,0,0,0
AVGO,1,89830000000.0,25.2211848322,0,0,0,1,0,0,0,0,0,0,0
AVY,3,7050000000.0,22.6762934538,0,0,0,0,0,0,0,0,1,0,0
AWK,1,13560000000.0,23.3303901195,0,0,0,0,0,0,0,1,0,0,0
AXP,4,71910000000.0,24.9986811741,1,0,0,0,0,0,0,0,0,0,0
AYI,-1,9090000000.0,22.9304407451,0,0,1,0,0,0,0,0,0,0,0
AZO,5,20410000000.0,23.7392908138,0,1,0,0,0,0,0,0,0,0,0
BA,1,1.0946e+11,25.4188250227,0,0,1,0,0,0,0,0,0,0,0
BAC,4,2.6601e+11,26.306799739,1,0,0,0,0,0,0,0,0,0,0
BAX,-1,27880000000.0,24.0511754228,0,0,0,0,1,0,0,0,0,0,1
BBBY,-5,5830000000.0,22.4862828373,0,1,0,0,0,0,0,0,0,0,0
BBT,2,38290000000.0,24.3684546024,1,0,0,0,0,0,0,0,0,0,0
BBY,-2,13930000000.0,23.3573106247,0,1,0,0,0,0,0,0,0,0,0
BCR,0,17880000000.0,23.6069486067,0,0,0,0,1,0,0,0,0,0,1
BDX,1,38520000000.0,24.3744434239,0,0,0,0,1,0,0,0,0,0,1
BF.B,0,24500000000.0,23.9219389545,0,0,0,0,0,0,1,0,0,0,0
BHI,3,59860000000.0,24.8152743394,0,0,0,0,0,1,0,0,0,0,0
BIIB,-1,50210000000.0,24.639480047,0,0,0,0,1,0,0,0,0,0,1
BK,2,63290000000.0,24.8709931757,1,0,0,0,0,0,0,0,0,0,0
