,date,ticker,%change
1529791,2016-12-30,BDCO,0.255737704918
1088831,2016-12-30,ARYX,0.26
11519231,2016-12-30,SPEC,1.0
8459647,2016-12-30,MYRX,0.25
10169215,2016-12-30,PTSX,0.244263131056
1166847,2016-12-30,ATC,5.03260869565
10389695,2016-12-30,RBCN,0.25
11933055,2016-12-30,SYMX,0.234567901235
342591,2016-12-30,AERG,0.251052631579
7503103,2016-12-30,LPS,0.307692307692
7326719,2016-12-30,LGN,0.4
91583,2016-12-30,ABK,7.16666666667
6434623,2016-12-30,IMGN,0.291139240506
12326527,2016-12-30,TNB,4578.47368421
10203134,2016-12-29,PVSP,99.0
12014462,2016-12-29,TBIO,0.208333333333
7370814,2016-12-29,LIZ,0.229054297015
8127230,2016-12-29,MMR,1.33333333333
9429758,2016-12-29,PARD,1.0
12675902,2016-12-29,UAHC,0.84126984127
5701950,2016-12-29,HAUP,0.25
7910142,2016-12-29,MERR,2.0
7102846,2016-12-29,KOOL,0.36
1322878,2016-12-29,AVXT,0.285714285714
7503102,2016-12-29,LPS,0.3
4484222,2016-12-29,ESMC,0.222222222222
9874109,2016-12-28,PNBC,1.5
3856701,2016-12-28,DRAM,0.267015706806
6458365,2016-12-28,IN,0.275
8459645,2016-12-28,MYRX,0.666666666667
668221,2016-12-28,AMAR,4.33333333333
5104956,2016-12-27,FST,0.468915845337
3856700,2016-12-27,DRAM,0.208860759494
4301052,2016-12-27,ENG,0.28125
9422972,2016-12-27,PANL,0.25468164794
3456444,2016-12-27,CYCC,0.311392405063
2805180,2016-12-27,CNLG,2.60869565217
1448379,2016-12-26,BAYN,9829.0
12326522,2016-12-23,TNB,4700.08695652
91578,2016-12-23,ABK,7.16666666667
1166842,2016-12-23,ATC,5.02173913043
8459642,2016-12-23,MYRX,0.25
10895098,2016-12-23,SAI,1.0
10104762,2016-12-23,PSBC,0.639344262295
7326714,2016-12-23,LGN,0.4
5518778,2016-12-23,GRB,0.233766233766
9263545,2016-12-22,OPXA,0.208791208791
5552697,2016-12-22,GSAT,0.231292517007
