,maxjump,cap
AA,0.08787875,6620000000.0
AAME,0.4590151095888979,79620000.0
AAN,0.21538387548668858,1920000000.0
AAON,0.17724495803227636,1810000000.0
AAP,0.16557580739716804,11900000000.0
AAPL,0.1390496531445795,712060000000.0
AAWW,0.27061476761619185,1340000000.0
AB,0.23801917415471152,2340000000.0
ABAX,0.2336254796373325,1120000000.0
ABC,0.10220703253707675,19720000000.0
ABCB,0.311110318864809,1700000000.0
ABCO,0.20997381160688255,1850000000.0
ABG,0.3191489361702129,1500000000.0
ABIO,2.1018868285266334,23160000.0
ABM,0.23748939727119578,2240000000.0
ABMC,1.0,3840000.0
ABMD,0.29277757461098686,5060000000.0
ABR,0.36597929312981514,376260000.0
ABT,0.10383421956249728,65800000000.0
ABTL,0.5,143160000.0
ACAD,1.3608695652173912,4760000000.0
ACAT,0.24809164233553527,242280000.0
ACC,0.1553281108162261,6550000000.0
ACET,0.23100320403564756,472920000.0
ACFC,0.49572649572649574,117780000.0
ACFN,0.4554449350777259,10560000.0
ACGL,0.12502218788476194,11390000000.0
ACHN,0.8329411764705883,583620000.0
ACIW,0.3004486883911084,2330000000.0
ACLS,1.0588235294117645,466370000.0
ACM,0.17772215269086367,5860000000.0
ACOR,2.8288288288288284,1150000000.0
ACTG,0.24553581797256063,297730000.0
ACTL,,69921000000.0
ACU,0.17540987730210844,83220000.0
ACUR,0.7132867132867131,10180000.0
ACXM,0.19733924611973408,2280000000.0
ACY,0.4616788321167882,16210000.0
ADAT,1.4166661265427098,14550000.0
ADBE,0.14358108108108092,59130000000.0
ADC,0.28998979928513036,1150000000.0
ADES,0.6375,255650000.0
ADI,0.15646252317773368,25500000000.0
ADK,0.7326704684971508,28290000.0
ADLS,,2157000000.0
ADM,0.17337807492844926,26050000000.0
ADMP,13.999998039098417,75540000.0
ADP,0.11827265229446637,44750000000.0
ADPT,0.20642202545029908,123130000.0
ADS,0.2461880581240583,13540000000.0
ADSK,0.14752061373881764,19230000000.0
ADTN,0.17642370412134412,1050000000.0
ADUS,0.221556886227545,390990000.0
AE,0.19752241775132018,173740000.0
AEE,0.15795202904461947,12950000000.0
AEHR,0.485981308411215,68400000.0
AEIS,0.25762707021791775,2440000000.0
AEL,0.24038473953298034,2400000000.0
AEO,0.1829723733712041,2780000000.0
AEP,0.13214292572421393,31520000000.0
AERG,1.35,5260000.0
AERO,2.0,94070000.0
AERT,0.6551724137931034,8960000.0
AES,0.28290468858136775,7550000000.0
AET,0.1775297154480575,44060000000.0
AETI,0.6904761904761902,15420000.0
AEY,0.32592592592592595,18330000.0
AF,0.1713394585865713,1900000000.0
AFAM,0.18275853528416852,489730000.0
AFFY,1.2222081791098671,2420000.0
AFG,0.45369207537648126,8119999999.999999
AFL,0.30278644674841493,28850000000.0
AFSI,0.15801109000628166,4660000000.0
AGCO,0.16194331779903615,5110000000.0
AGEN,0.7320259593925353,392940000.0
AGII,0.1284714915071934,2000000000.0
AGM,1.135359148722428,611790000.0
AGN,0.12217960157624952,92780000000.0
AGO,0.3703444321973266,5340000000.0
AGX,0.5000000000000002,1090000000.0
AGYS,0.42468619246861916,216600000.0
AHC,0.36619927019467635,139810000.0
AHGP,0.2807175438826628,1830000000.0
AHII,2.571428571428571,9900000000.0
AHL,0.13817169085368208,3390000000.0
AHPI,0.7837837837837835,8990000.0
AHT,0.46913308266408627,735760000.0
AI,0.9411761656419453,346100000.0
AIG,0.6599999417487854,62210000000.0
AIMC,0.19609311609985136,1030000000.0
AIN,0.2788285517086422,1520000000.0
AIQ,0.4363636363636365,110040000.0
AIR,0.18164523745023176,1150000000.0
AIRM,0.28497592385868464,1410000000.0
AIRT,0.4966887394767683,44920000.0
AIT,0.17773970402234718,2440000000.0
AIV,0.2755555481699419,7030000000.0
AIZ,0.21799895327597496,5380000000.0
AJG,0.17847777285291344,10170000000.0
AKAM,0.26637554585152845,10780000000.0
AKR,0.1469739214691832,2660000000.0
AKRX,0.4059829810888347,2730000000.0
AKS,0.28739798151997764,2780000000.0
ALAN,1.1274509803921569,59784000000000.0
ALB,0.1470457264041376,10340000000.0
ALCO,0.3804213236782781,219080000.0
ALE,0.1272829242218394,3330000000.0
ALEX,0.376309436534898,2200000000.0
ALG,0.23796461087981835,888230000.0
ALGN,0.4820512820512821,8109999999.999999
ALGT,0.33701922781882354,2810000000.0
ALJ,0.46478871080997997,815870000.0
ALK,0.31284918646703264,11910000000.0
ALKS,0.27832685719728145,8320000000.0
ALL,0.21686752489003558,29440000000.0
ALNY,0.5303514376996805,4150000000.0000005
ALOG,0.181882203493134,1020000000.0
ALOT,0.3333332619808951,101990000.0
ALSK,0.564516129032258,86800000.0
ALX,0.24916605350801846,2230000000.0
ALXN,0.21139613284666514,28930000000.0
AM,0.15000004823534607,6230000000.0
AMAG,1.0315731066100646,827230000.0
AMAR,2822.3762995301336,4940000.0
AMAT,0.1427135411068865,38450000000.0
AMD,0.5229007633587786,12220000000.0
AME,0.1566156625269659,12550000000.0
AMED,0.3606010699525959,1610000000.0
AMG,0.23567589525514765,9260000000.0
AMGN,0.1510210083457999,127620000000.0
AMIN,0.9666666666666666,1020000.0
AMKR,0.3386138613861387,2390000000.0
AMN,0.21825962910128371,1950000000.0
AMNB,0.13166146115947086,314990000.0
AMOT,0.4701086318749288,217780000.0
AMP,0.2780921215667427,19970000000.0
AMPH,0.16335797863630086,846820000.0
