Month,DRL,CHP,NST,ARM,GTA,SFI,PVR,ESC,SNTS,FRE,DMC,TBL,SHS,ENP,ATX,VITA,TNB,BHS,HBE,FOOD,JAS,BAYN,ANV,TIE,AGL,EAR,PHC,BKR,GET,UPI,IN,AMAR,BMC,MMG,FBN,MXB,CGX,SMA,MBR,LSE,SII,OHB,PRM,PLA,ABK,CLP,CPO,ALC,TSH,CXPO,CFL,IMM,ASI,FSCI,MMR,ART,PXP,GDI,AEN,CEC,GRB,NFP,TVL,PSE,CRE,LAB,PSYS,CTBK,IIG,GAP,CAFI,AAI,SBX,SEH,LPS,CPD
2004-01,31,24,38,68,13,89,74,33,26,63,43,20,87,39,100,30,29,23,70,85,93,7,14,56,56,65,77,59,37,31,70,15,73,25,24,82,1,16,99,76,17,28,82,84,32,50,27,67,42,0,25,69,27,63,42,100,73,47,65,82,59,12,33,37,64,100,22,0,77,78,48,21,64,68,50,93
2004-02,27,31,43,70,12,80,67,34,13,63,49,25,79,48,97,30,27,22,63,87,66,5,11,58,59,65,89,46,37,27,71,17,73,27,23,72,1,18,92,77,20,26,93,90,33,45,29,68,47,0,26,51,27,47,51,98,61,48,66,90,84,13,34,35,67,100,66,0,55,73,45,24,78,54,43,82
2004-03,29,28,45,69,12,100,62,35,29,63,46,21,87,45,88,29,22,23,49,88,54,11,14,58,55,66,60,34,36,26,72,17,77,31,36,100,1,17,100,78,27,26,93,88,41,51,33,60,45,74,27,55,27,77,43,99,56,50,53,95,81,11,23,40,71,95,67,0,76,79,69,25,97,77,52,82
2004-04,32,24,45,73,11,93,56,34,45,63,48,24,74,43,87,30,21,24,74,85,46,5,10,62,65,64,81,48,36,25,74,18,80,24,36,69,2,19,89,62,45,29,88,86,34,53,36,68,44,59,29,46,29,76,36,97,56,46,42,89,91,14,27,32,65,98,53,0,81,80,60,24,83,53,46,81
2004-05,31,22,46,68,12,67,58,38,16,59,47,18,86,31,79,31,18,25,85,86,44,10,12,67,66,61,77,44,36,29,71,18,74,25,27,79,0,16,94,65,26,34,100,83,41,51,36,72,43,100,26,49,28,51,35,91,65,45,78,78,83,11,31,33,66,89,36,0,51,78,55,22,49,50,41,81
2004-06,34,24,46,70,13,81,63,45,22,63,49,18,75,41,77,29,19,25,61,75,41,4,11,65,68,61,78,53,37,25,68,20,78,28,18,28,1,19,91,63,27,21,95,77,35,58,28,78,47,49,49,51,28,26,33,83,73,47,39,89,62,13,35,36,69,86,36,34,90,74,57,24,84,65,45,83
2004-07,32,27,57,73,14,79,64,38,11,65,49,20,84,35,80,29,20,24,67,71,45,7,5,58,75,65,99,56,37,35,68,20,94,27,29,54,2,18,94,63,23,24,77,72,39,53,41,79,47,49,55,48,29,36,35,79,45,46,61,89,51,14,39,37,68,87,48,30,57,75,69,19,68,74,45,91
2004-08,30,24,49,73,15,85,69,34,21,63,54,22,80,55,86,28,21,24,83,72,46,10,15,59,66,63,69,57,38,22,68,20,85,28,23,73,1,18,94,63,24,33,82,69,36,58,41,75,47,49,55,51,28,100,37,82,32,43,50,78,100,12,42,40,61,88,61,30,50,80,67,20,42,61,42,85
2004-09,36,24,56,69,15,90,69,36,19,61,52,22,99,39,84,32,28,27,96,77,43,15,19,63,68,60,80,44,37,27,69,19,77,29,28,56,1,18,96,68,23,27,82,71,35,58,41,75,46,0,53,56,28,61,36,89,47,100,75,85,86,12,41,43,71,97,40,30,70,85,62,21,97,71,43,80
2004-10,33,24,60,68,26,86,77,33,20,64,51,19,92,34,85,33,21,29,86,83,41,14,10,70,64,64,64,57,37,25,70,18,74,28,22,65,1,17,95,77,23,18,81,77,32,58,33,78,47,0,62,50,29,47,37,92,34,77,65,86,74,11,36,43,66,95,25,31,58,87,61,18,49,71,38,77
2004-11,33,24,42,65,33,71,80,34,24,70,52,18,91,42,80,31,28,35,78,88,38,5,14,67,65,62,80,59,36,31,68,19,71,26,17,54,1,17,90,71,24,29,88,81,39,59,34,77,44,0,74,49,27,24,42,91,48,54,56,79,69,13,46,41,70,90,33,29,66,91,76,23,83,53,41,69
2004-12,30,27,47,66,23,85,95,31,28,70,54,26,83,47,85,29,25,35,77,80,39,7,12,72,57,64,76,47,36,31,65,17,67,23,22,60,1,17,86,68,21,21,86,78,32,63,29,73,41,0,23,53,29,44,30,86,51,46,67,83,54,12,42,39,66,85,15,29,66,100,79,18,72,67,39,69
2005-01,32,43,56,68,20,87,91,35,56,69,51,21,82,55,92,32,33,27,61,81,36,4,20,58,56,66,85,60,38,27,70,17,73,24,21,67,1,17,85,71,22,18,79,81,31,58,33,73,44,0,26,82,31,64,32,86,39,51,71,83,69,12,47,39,72,90,54,25,78,76,62,22,80,57,43,89
2005-02,33,26,52,68,16,85,82,35,17,70,48,23,100,52,81,33,27,27,57,91,35,6,19,60,69,67,78,63,38,25,72,18,75,26,13,47,2,19,88,79,22,38,83,83,34,57,35,72,48,0,28,59,29,34,35,88,69,49,73,90,69,14,45,39,73,95,57,22,79,75,75,21,76,69,39,84
2005-03,37,22,55,72,14,77,75,35,14,67,50,21,89,41,73,33,32,25,87,83,38,3,16,59,64,67,85,65,39,25,71,18,77,22,18,55,1,19,83,70,31,26,83,81,33,57,33,67,47,0,26,53,28,51,33,84,43,47,68,79,63,14,40,37,76,90,60,22,66,80,75,22,65,69,42,67
2005-04,40,21,53,71,13,65,71,33,24,65,51,33,86,43,71,35,42,26,70,86,35,4,16,64,66,64,66,63,38,24,72,19,80,28,14,62,1,19,76,69,51,27,79,84,38,58,37,76,50,0,30,54,30,45,37,83,63,49,66,78,60,14,26,37,78,87,40,25,70,78,86,21,69,60,40,74
2005-05,44,21,48,69,12,76,72,38,21,69,49,26,84,61,66,36,31,27,71,85,34,15,10,68,69,65,78,64,37,24,71,21,78,32,24,51,2,20,76,64,36,30,71,82,34,61,38,80,47,0,32,57,30,61,35,81,58,43,63,83,65,13,33,37,78,85,23,22,64,75,79,22,61,71,42,77
2005-06,34,25,53,70,34,74,69,43,7,68,49,21,91,63,66,33,26,25,76,74,38,12,14,66,71,64,70,75,38,26,68,23,82,28,20,44,1,21,76,67,31,37,79,83,35,61,39,84,51,0,52,57,33,42,34,75,39,47,56,82,71,13,36,36,78,80,53,25,53,73,86,21,62,76,41,74
2005-07,48,25,59,70,34,65,69,39,22,72,52,21,78,47,70,28,26,28,78,69,34,20,14,57,67,67,84,64,39,23,69,21,84,28,18,50,1,21,75,69,26,28,77,79,37,55,46,75,50,0,65,54,40,51,32,71,67,41,63,76,69,13,31,35,78,77,18,28,64,72,57,22,46,72,38,89
2005-08,38,24,58,72,23,71,70,31,7,68,47,17,86,82,66,27,25,28,58,71,38,12,10,58,73,65,72,75,38,25,68,22,83,24,22,43,1,18,76,64,27,26,78,69,32,61,40,71,46,32,61,52,46,33,34,73,40,41,50,86,57,13,33,39,72,83,69,31,54,83,63,21,60,71,37,68
