,Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
0,MMM,3M Company,Industrials,189.09,2.48,23.17,8.16,17.26,158.28,190.54,112.74,8.7,3.74,10.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
1,ABT,Abbott Laboratories,Health Care,45.0,2.34,48.03,0.94,13.94,36.76,45.83,77.76,4.59,3.74,3.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
2,ABBV,AbbVie,Health Care,63.69,4.04,17.55,3.63,2.91,54.41,68.12,101.52,10.95,3.95,21.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
3,ACN,Accenture plc,Information Technology,124.14,1.96,18.37,6.76,11.95,102.1,125.72,77.29,5.66,2.3,10.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
4,ATVI,Activision Blizzard,Information Technology,48.06,0.64,37.55,1.28,12.23,30.37,48.36,36.13,2.14,5.44,3.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI
5,AYI,Acuity Brands Inc,Industrials,205.41,0.25,29.68,6.92,39.5,193.06,280.89,9.0,0.5862,2.64,5.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI
6,ADBE,Adobe Systems Inc,Information Technology,119.98,0.0,51.72,2.32,15.02,83.25,120.69,59.28,1.82,10.14,8.0,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
7,AAP,Advance Auto Parts,Consumer Discretionary,151.99,0.15,24.51,6.2,39.66,132.98,177.83,11.18,1.12,1.19,3.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP
8,AES,AES Corp,Utilities,11.33,4.16,,-1.71,4.24,10.27,13.32,7.47,3.42,0.56,2.72,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
9,AET,Aetna Inc,Health Care,130.59,1.53,20.37,6.41,50.84,104.59,136.5,45.93,6.2,0.73,2.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET
