,date,ticker,%change
5192004,2012-08-08,GAP,inf
2124716,2009-01-28,CAFI,inf
8702,2011-05-10,AAI,inf
10967638,2008-12-29,SBX,inf
11076238,2009-03-17,SEH,inf
5192047,2012-10-08,GAP,inf
6395051,2008-05-02,IIG,26227271.7273
6395083,2008-06-17,IIG,5468749.0
3883389,2015-04-10,DRL,3932242.75
2550242,2014-12-04,CHP,3225556.75
8873293,2016-04-26,NST,1449999.0
1023842,2014-12-04,ARM,1175392.06097
8872933,2014-12-09,NST,874999.0
8872940,2014-12-18,NST,874999.0
8872930,2014-12-04,NST,675513.388889
8872984,2015-02-18,NST,445812.217391
5581442,2010-02-22,GTA,271523.375
11110447,2010-04-26,SFI,241519.430233
11111506,2014-05-16,SFI,230552.221239
11111489,2014-04-23,SFI,226660.618182
11111521,2014-06-06,SFI,220314.385321
11110453,2010-05-04,SFI,218536.308511
11110402,2010-02-22,SFI,197070.587629
10196173,2016-04-26,PVR,183332.333333
5714988,2014-12-18,HBE,179999.0
10195864,2015-02-18,PVR,174999.0
11110469,2010-05-26,SFI,172327.81
6395090,2008-06-26,IIG,167009.309278
6395087,2008-06-23,IIG,159999.0
11110484,2010-06-16,SFI,153707.945946
11110974,2012-05-02,SFI,137228.302326
11111182,2013-02-18,SFI,127438.833333
5715032,2015-02-18,HBE,124999.0
11111178,2013-02-12,SFI,122506.415842
11111148,2013-01-01,SFI,120582.142857
11111063,2012-09-04,SFI,113489.020408
11110621,2010-12-24,SFI,112462.019417
11110628,2011-01-04,SFI,110863.32381
11110907,2012-01-30,SFI,110032.734177
6394781,2007-04-20,IIG,109205.349206
11110653,2011-02-08,SFI,107539.903846
11110888,2012-01-03,SFI,105192.605263
11110953,2012-04-03,SFI,104624.180851
11110513,2010-07-27,SFI,101998.25
4448915,2011-09-06,ESC,100433.017669
11445687,2008-02-20,SNTS,99992.436751
5581549,2010-07-21,GTA,99839.4392523
11110699,2011-04-13,SFI,99209.9659091
11110633,2011-01-11,SFI,99050.9150943
11445692,2008-02-27,SNTS,98943.6335362
11110542,2010-09-06,SFI,98635.6428571
11445963,2009-03-12,SNTS,97189.7074974
11110556,2010-09-24,SFI,96501.7867647
5715341,2016-04-26,HBE,91110.1111111
11445961,2009-03-10,SNTS,90350.0711538
11110714,2011-05-04,SFI,90295.7362637
11445681,2008-02-12,SNTS,89389.2653701
10195810,2014-12-04,PVR,85713.2857143
11445766,2008-06-10,SNTS,83717.0277778
11445911,2008-12-30,SNTS,80746.3879032
11445867,2008-10-29,SNTS,80020.3871753
5032443,2012-01-30,FRE,78302.030303
11445909,2008-12-26,SNTS,78284.1923378
11445709,2008-03-21,SNTS,77550.1992581
5581560,2010-08-05,GTA,77064.8880597
11445787,2008-07-09,SNTS,76594.0574586
11445793,2008-07-17,SNTS,73865.7252155
11445896,2008-12-09,SNTS,73439.6814764
11110802,2011-09-05,SFI,73166.6936937
11445905,2008-12-22,SNTS,73030.9190372
11445828,2008-09-04,SNTS,72943.2869081
11445820,2008-08-25,SNTS,72620.7807112
11445757,2008-05-28,SNTS,71424.5816589
5581707,2011-02-28,GTA,70694.8333333
11445986,2009-04-14,SNTS,70671.0769829
11445861,2008-10-21,SNTS,70571.5866842
11445815,2008-08-18,SNTS,70524.8334196
5581579,2010-09-01,GTA,70421.2761194
11445711,2008-03-25,SNTS,70354.3427885
11445869,2008-10-31,SNTS,70221.9992706
11445847,2008-10-01,SNTS,68943.258312
5581590,2010-09-16,GTA,67763.8358209
11445746,2008-05-13,SNTS,67387.4341417
11445893,2008-12-04,SNTS,67301.0144928
5581594,2010-09-22,GTA,67099.4701493
11445739,2008-05-02,SNTS,66800.726676
5581599,2010-09-29,GTA,66435.1119403
5581582,2010-09-06,GTA,64851.205298
11445994,2009-04-24,SNTS,64604.159008
5581557,2010-08-02,GTA,64541.68125
5581568,2010-08-17,GTA,64261.6357616
11445652,2008-01-02,SNTS,64000.9976393
5581564,2010-08-11,GTA,63672.0728477
11446000,2009-05-04,SNTS,63288.1093177
5581758,2011-05-10,GTA,62930.0344828
5581704,2011-02-23,GTA,62930.0344828
5581697,2011-02-14,GTA,62672.168
11445831,2008-09-09,SNTS,62542.0320802
3781972,2016-08-03,DMC,62499.0
5581571,2010-08-20,GTA,62492.9403974
5581695,2011-02-10,GTA,61784.5820896
5581574,2010-08-25,GTA,61438.3661972
5581566,2010-08-13,GTA,61313.807947
11445714,2008-03-28,SNTS,60655.627434
5581865,2011-10-06,GTA,59999.0
5581650,2010-12-09,GTA,59557.5704225
5581530,2010-06-24,GTA,59515.3033708
11446304,2010-07-02,SNTS,59211.8644647
5581751,2011-04-29,GTA,57968.372093
5581777,2011-06-06,GTA,57776.7777778
5581684,2011-01-26,GTA,56422.9084507
12017244,2014-08-28,TBL,56415.5813806
5581772,2011-05-30,GTA,56295.2962963
5581762,2011-05-16,GTA,56152.8461538
5581636,2010-11-19,GTA,55714.9455782
12017237,2014-08-19,TBL,55707.2491028
5581857,2011-09-26,GTA,55482.8709677
5581854,2011-09-21,GTA,55482.8709677
11446359,2010-09-17,SNTS,55367.876073
5581533,2010-06-29,GTA,54957.9336735
5581793,2011-06-28,GTA,54837.7096774
5581709,2011-03-02,GTA,54517.8139535
6395032,2008-04-07,IIG,54499.0
5581839,2011-08-31,GTA,54374.0
11446298,2010-06-24,SNTS,54261.6629863
11446440,2011-01-10,SNTS,54238.4587434
11446591,2011-08-09,SNTS,54048.5338346
11446315,2010-07-19,SNTS,53789.8898086
11446524,2011-05-06,SNTS,53788.0119966
12017297,2014-11-11,TBL,53330.9069493
11446295,2010-06-21,SNTS,53123.3552299
11446021,2009-06-02,SNTS,53013.1694805
11446355,2010-09-13,SNTS,52953.122627
11446402,2010-11-17,SNTS,52632.6574032
11446009,2009-05-15,SNTS,52513.0357143
5581743,2011-04-19,GTA,52483.5298507
5581728,2011-03-29,GTA,52252.442029
11203234,2014-12-04,SHS,52133.0952991
11446596,2011-08-16,SNTS,52039.9362934
11446521,2011-05-03,SNTS,51919.4110835
5581693,2011-02-08,GTA,51744.425
11446444,2011-01-14,SNTS,51727.8070896
12017832,2016-11-29,TBL,51537.4615385
12017838,2016-12-07,TBL,51537.4615385
11446320,2010-07-26,SNTS,51525.5027459
11446516,2011-04-26,SNTS,51355.4611315
5581834,2011-08-24,GTA,51249.0
11446494,2011-03-25,SNTS,51242.5346774
5581836,2011-08-26,GTA,51175.4705882
11446464,2011-02-11,SNTS,50795.7588623
11446425,2010-12-20,SNTS,50661.5791084
11446476,2011-03-01,SNTS,50154.8555149
5581604,2010-10-06,GTA,50012.7022472
5581610,2010-10-14,GTA,50012.7022472
5581764,2011-05-18,GTA,49999.0
5581766,2011-05-20,GTA,49999.0
5581823,2011-08-09,GTA,49999.0
11446497,2011-03-30,SNTS,49409.5622084
5581730,2011-03-31,GTA,49053.2517007
5581613,2010-10-19,GTA,49012.4269663
5581633,2010-11-16,GTA,48406.0125
11446014,2009-05-22,SNTS,48396.1364452
11446502,2011-04-06,SNTS,48246.5193622
11446276,2010-05-25,SNTS,48203.8168753
5581607,2010-10-11,GTA,48012.1516854
5581769,2011-05-25,GTA,47999.0
11446547,2011-06-08,SNTS,47415.4803564
11446530,2011-05-16,SNTS,47386.8154215
11446545,2011-06-06,SNTS,47079.1022773
11446551,2011-06-14,SNTS,47020.1143671
