Month,AMP,ABC,AME,AMGN,APH,APC,ADI,ANTM,AON,APA,AWK,AMT,AIG,AXP,AEP,AAL,AMZN,MO,AAPL,ALL,ADS,ALXN,LNT,AGN,ALB,ALK,AKAM,APD,A,AFL,AMG,AET,AES,AAP,ADBE,AYI,ATVI,CAN,ABBV,ABT,MMM,AVB,AVY,BHI,BLL,BAC,BK,BCR,BAX,BBT,BDX,AMAT,ADM,AJG,AIZ,T,ADSK,ADP,AN,AZO,BSX,BBBY,BRK.B,BBY,BIIB,BLK,HRB,BA,BWA,BXP,CHRW,BMY,AVGO,BF.B,COG,CPB,COF,CBOE,HSIC,KMX,CCL,CAT,CBG,CBS,CELG,CNC,CNP,CTL,CERN,CF,CINF,SCHW,CHTR,CHK,CVX,CMG,CB,CHD,CI,XEC
2004-01,22,64,96,43,73,47,97,64,79,51,51,100,14,76,40,88,23,62,29,82,59,31,71,49,91,100,40,79,86,64,100,89,99,38,93,68,94,83,0,100,93,100,95,42,50,42,85,69,88,56,98,91,92,82,20,44,91,35,65,31,78,49,37,37,52,49,51,93,97,82,62,91,5,74,41,93,42,100,99,51,80,87,69,57,53,24,12,13,92,34,67,100,76,19,70,16,90,69,100,19
2004-02,23,100,77,46,98,64,99,66,75,49,43,73,14,72,44,84,21,95,27,81,64,58,85,58,85,50,52,100,100,71,68,80,91,44,93,49,75,100,0,94,97,59,96,35,46,40,82,69,100,55,100,100,96,87,41,44,100,37,65,31,94,44,39,33,70,47,70,84,100,100,75,100,5,92,47,84,39,100,86,52,95,93,87,76,66,9,14,14,78,29,70,87,75,25,72,16,87,83,97,38
2004-03,15,90,88,49,87,53,100,59,75,40,41,89,14,74,44,82,20,80,25,78,58,47,85,68,52,48,47,90,91,59,44,82,95,48,88,45,66,77,0,86,94,50,92,39,45,41,90,50,86,54,97,85,93,65,31,41,91,31,57,35,78,49,100,30,64,44,42,76,85,63,65,82,2,77,37,75,38,89,90,54,67,92,72,63,53,15,11,11,82,44,85,85,74,23,74,17,77,98,89,23
2004-04,20,84,86,48,95,37,99,66,73,32,35,61,15,76,44,84,20,79,26,73,63,56,77,55,62,48,43,84,89,55,69,80,89,46,86,53,69,74,2,86,100,40,89,49,52,42,89,62,85,55,99,90,85,87,34,42,94,32,60,33,79,51,46,30,56,45,35,100,92,54,69,83,4,75,39,66,41,81,77,55,69,99,77,100,60,12,13,13,72,32,58,86,78,29,79,19,86,100,91,18
2004-05,19,91,67,39,80,39,86,64,74,50,49,38,13,75,49,84,20,64,25,79,58,42,86,47,66,41,48,85,88,59,67,73,90,49,83,56,64,71,0,85,88,72,80,40,48,40,78,58,82,49,91,93,85,63,28,39,86,35,63,36,62,53,59,32,50,45,7,83,89,52,52,77,3,96,55,51,38,76,86,54,65,95,67,99,57,25,12,11,64,20,75,66,74,29,76,15,74,78,85,24
2004-06,22,96,90,40,92,58,81,70,76,41,50,77,14,85,53,89,21,53,28,87,66,61,86,58,70,62,91,90,90,59,56,73,58,53,84,87,79,89,0,88,95,68,99,35,60,45,92,98,97,56,97,85,87,81,36,42,81,36,61,37,81,60,34,34,62,44,7,88,93,65,69,81,4,99,50,44,43,80,91,57,64,96,74,37,74,23,14,15,88,36,100,72,82,27,74,19,86,92,97,47
2004-07,20,94,100,38,100,52,82,69,77,38,58,65,15,83,51,94,22,59,29,93,60,64,88,58,76,43,53,84,89,58,74,76,64,51,84,69,87,80,0,88,92,68,86,33,65,47,82,79,91,66,99,89,85,99,48,43,82,35,63,41,100,72,35,36,61,41,8,92,89,38,58,81,4,85,52,52,45,66,85,63,64,92,73,47,47,16,15,15,73,42,44,73,82,32,77,20,82,75,95,33
2004-08,23,90,91,41,84,66,85,66,73,44,55,85,16,83,46,92,22,71,30,100,60,66,90,50,82,37,44,80,83,62,80,85,88,52,84,89,84,76,0,91,95,50,96,32,100,51,86,100,90,63,90,79,92,87,42,45,80,37,66,39,93,68,38,40,52,53,10,84,86,42,63,90,5,78,65,58,46,71,77,61,64,98,79,54,53,27,14,16,81,16,64,72,87,29,81,19,100,95,95,23
2004-09,17,77,80,38,85,64,84,62,81,45,70,80,16,77,49,84,23,74,31,83,71,32,78,46,82,37,47,92,87,63,66,77,89,46,88,59,81,78,0,87,95,39,92,35,79,47,84,73,86,58,95,76,95,65,48,41,88,35,51,35,67,52,32,35,58,42,9,83,79,38,56,78,6,79,45,71,43,86,77,57,59,100,83,94,55,22,15,11,88,28,65,60,79,32,79,15,97,77,83,21
2004-10,18,76,80,40,73,46,76,58,79,42,45,52,19,77,43,78,23,64,30,77,65,50,56,39,68,38,46,80,84,58,54,84,78,45,88,42,84,78,0,83,88,44,87,39,59,46,76,73,79,52,97,77,84,100,45,39,85,33,47,35,60,48,24,34,54,40,8,79,77,53,59,89,5,90,46,93,44,81,92,52,55,99,72,57,62,18,12,13,88,29,77,64,70,25,71,18,86,98,93,29
