Month,AMP,ABC,AME,AMGN,APH,APC,ADI,ANTM,AON,APA,AWK,AMT,AIG,AXP,AEP,AAL,AMZN,MO,AAPL,ALL,ADS,ALXN,LNT,AGN,ALB,ALK,AKAM,APD,A,AFL,AMG,AET,AES,AAP,ADBE,AYI,ATVI,CAN,ABBV,ABT,MMM,AVB,AVY,BHI,BLL,BAC,BK,BCR,BAX,BBT,BDX,AMAT,ADM,AJG,AIZ,T,ADSK,ADP,AN,AZO,BSX,BBBY,BRK.B,BBY,BIIB,BLK,HRB,BA,BWA,BXP,CHRW,BMY,AVGO,BF.B,COG,CPB,COF,CBOE,HSIC,KMX,CCL,CAT,CBG,CBS,CELG,CNC,CNP,CTL,CERN,CF,CINF,SCHW,CHTR,CHK,CVX,CMG,CB,CHD,CI,XEC,CINF,CTAS,CSCO,C,CFG,CTXS,CLX,CME,CMS,COH,KO,CTSH,CL,CMCSA,CMA,CAG,CXO,COP,ED,STZ,GLW,COST,COTY,CCI,CSRA,CSX,CMI,CVS,DHI,DHR,DRI,DVA,DE,DLPH,DAL,XRAY,DVN,DFS,DISH,DG,DLTR,D,DOV,DOW,DPS,DTE,DD,DUK,DNB,ETFC,EMN,ETN,EBAY,EIX,EW,EA,EMR,ETR,EVHC,EOC,EQT,EFX,EQIX,EQR,EL,ES,EXC,EXPD,ESRX,EXR,XOM,FFIV,FB,FAST,FRT,FDX,FIS,FISV,FLIR,FLS,FLR,FMC,FTI,FL,F,FBHS,FCX,FTR,GPS,GRMN,GD,GE,GGP,GIS,GM,GPC,GILD,GPN,GS,GT,GWW,HAL,HBI,HOG,HAR,HRS,HIG,HAS,HCA,HSIC,HES,HPE,HOLX,HD,HON,HRL,HUM,HBAN,IDXX,ITW,ILMN,IR,INTC,ICE,IBM,INCY,IP,IPG,IFF,INTU,ISRG,IVZ,JEC,JBHT,SJM,JNJ,JPM,JNPR,KSU,K,KEY,KMB,KIM,KMI,KLAC,KSS,KHC,KR,LB,LLL,LH,LRCX,LEG,LEN,LVLT,LUK,LLY,LNC,LKQ,LMT,L,LYB,MTB,MAC,MNK,MRO,MPC,MAR,MMC,MLM,MA,MAT,MKC,MCD,MCK,MJN,MDT,MRK,MET,MTD,KORS,MCHP,MU,MSFT,MAA,MHK,TAP,MDLZ,MON,MNST,MS,MCO,MOS,MSI,MUR,MYL,NDAQ,NOV,NAVI,NTAP,NFLX,NWL,NFX,NEM,NEE,NLSN,NKE,NI,NBL,JWN,NSC,NTRS,NOC,NRG,NUE,NVDA,ORLY,OXY,OMC,OKE,ORCL,PCAR,PH,PDCO,PAYX,PYPL,PNR,PBCT,PEP,PKI,PRGO,PFE,PM,PSX,PNW,PXD,PNC,RL,PPG,PPL,PX,PCLN,PFG,PG,PGR,PRU,PSA,PVH,QRVO,PWR,QCOM,DGX,RRC,RTN,O,RHT,REG,REGN,RF,RSG,RAI,RHI,ROK,COL,ROP,ROST,R,CRM,SCG,SLB,SNI,STX,SEE,SRE,SHW,SIG,SPG,SWKS,SLG,LUV,SWN,SPGI,SWK,SBUX,SRCL,SYK,STI,SYMC,SYF,SYY,TROW,TGT,TEL,TGNA,TDC,TSO,TXN,TXT,HSY,TRV,TMO,TIF,TJX,TSCO,TDG,RIG,TRIP,TSN,UDR,ULTA,USB,UNP,UL,UNH,UPS,URI,UTX,UHS,UNM,URBN,VFC,VLO,VAR,VTR,VRSN,VRSK,VZ,VRTX,VIAB,V,VNO,VMC,WMT,DIS,WM,WAT,WEC,WFC,HCN,HCN,WDC,WI,WHR,WFM,WMB,WLTW,WYN,WYNN,XEL,XRX,XLNX,XYL,YHOO,YUM,ZBH,ZION,ZTS
2004-01,22,64,96,43,73,47,97,64,79,51,51,100,14,76,40,88,23,62,29,82,59,31,71,49,91,100,40,79,86,64,100,89,99,38,93,68,94,83,0,100,93,100,95,42,50,42,85,69,88,56,98,91,92,82,20,44,91,35,65,31,78,49,37,37,52,49,51,93,97,82,62,91,5,74,41,93,42,100,99,51,80,87,69,57,53,24,12,13,92,34,67,100,76,19,70,16,90,69,100,19,57,89,95,48,76,96,96,61,82,38,37,36,86,46,61,36,37,80,24,42,90,37,51,61,81,26,64,14,46,52,75,34,63,82,67,77,56,93,94,5,5,52,55,94,17,11,95,28,83,73,98,92,50,23,100,88,98,29,16,38,30,85,55,74,69,30,83,69,67,16,57,74,0,33,38,74,90,81,46,74,83,71,0,30,100,0,33,27,72,30,84,100,18,77,81,38,51,42,36,66,81,56,0,82,100,100,86,48,67,89,83,100,88,48,96,100,49,42,77,100,40,83,99,14,97,86,90,92,58,100,42,100,84,51,100,98,100,50,41,100,55,98,50,50,100,16,0,22,17,76,31,73,73,59,69,21,88,89,13,78,42,12,71,69,68,90,62,84,17,57,73,21,86,44,100,75,75,75,71,96,13,89,96,86,38,76,43,5,25,31,70,98,24,80,38,32,13,52,0,85,4,87,42,90,0,97,41,52,21,32,72,70,96,46,63,96,15,48,97,18,89,81,90,58,48,28,35,54,47,99,19,88,88,47,94,57,10,65,98,56,43,50,100,85,87,92,49,48,0,73,92,43,16,88,74,98,65,53,40,15,0,80,92,86,42,81,58,11,88,97,12,100,71,89,47,61,47,72,71,89,29,81,99,27,26,84,36,63,2,99,100,31,46,13,78,69,94,91,81,80,33,64,28,21,57,26,5,73,61,6,96,93,4,61,71,49,93,27,100,38,60,36,76,87,100,0,59,43,24,80,58,68,24,58,7,78,100,30,25,25,95,100,82,53,65,0,10,24,80,93,90,76,49,77,76,47,0
2004-02,23,100,77,46,98,64,99,66,75,49,43,73,14,72,44,84,21,95,27,81,64,58,85,58,85,50,52,100,100,71,68,80,91,44,93,49,75,100,0,94,97,59,96,35,46,40,82,69,100,55,100,100,96,87,41,44,100,37,65,31,94,44,39,33,70,47,70,84,100,100,75,100,5,92,47,84,39,100,86,52,95,93,87,76,66,9,14,14,78,29,70,87,75,25,72,16,87,83,97,38,70,96,100,48,66,100,93,52,47,48,37,73,97,47,59,29,24,88,27,37,91,31,43,63,99,27,65,17,56,67,66,25,71,85,63,84,94,85,80,6,6,42,69,87,9,10,98,22,91,65,100,93,49,24,91,78,89,33,16,38,30,83,57,93,72,46,88,95,54,15,60,71,0,39,28,72,79,72,45,80,89,100,0,27,97,0,40,31,65,29,91,100,24,100,78,83,52,54,36,66,84,69,0,83,90,87,86,37,70,83,73,94,89,45,91,90,56,43,76,76,49,91,100,25,100,100,91,95,64,93,54,86,88,62,86,97,70,83,24,89,46,91,54,50,81,15,0,23,22,70,28,83,80,52,77,12,100,70,11,81,38,12,71,38,100,71,100,90,22,100,72,24,90,44,98,82,80,76,70,91,8,99,100,95,100,81,30,7,26,10,69,76,27,77,46,29,26,60,0,94,4,91,59,81,0,100,44,51,42,30,64,56,100,46,86,87,17,52,91,64,100,75,96,35,51,28,46,56,63,100,19,100,100,59,47,85,13,64,89,53,50,68,94,95,82,88,46,51,0,27,100,42,16,100,49,100,74,24,39,11,23,77,100,93,57,81,60,14,84,100,22,98,78,92,46,61,36,81,35,84,43,81,95,26,16,98,35,61,4,97,69,30,54,26,80,58,91,82,100,69,39,67,28,23,19,18,5,100,76,6,97,100,0,61,67,61,100,65,98,37,65,31,100,82,74,0,62,99,40,75,77,72,23,63,5,99,84,29,100,100,87,89,75,49,100,0,23,18,82,100,100,100,50,82,72,37,0
2004-03,15,90,88,49,87,53,100,59,75,40,41,89,14,74,44,82,20,80,25,78,58,47,85,68,52,48,47,90,91,59,44,82,95,48,88,45,66,77,0,86,94,50,92,39,45,41,90,50,86,54,97,85,93,65,31,41,91,31,57,35,78,49,100,30,64,44,42,76,85,63,65,82,2,77,37,75,38,89,90,54,67,92,72,63,53,15,11,11,82,44,85,85,74,23,74,17,77,98,89,23,83,88,99,45,68,95,78,57,77,55,37,39,99,43,54,30,45,71,24,36,83,31,63,42,97,35,63,19,65,75,58,33,85,89,65,100,60,68,94,5,6,46,77,89,11,13,92,24,92,66,86,90,51,25,96,89,86,31,100,42,23,88,50,78,75,51,83,65,49,17,64,60,0,32,92,73,63,71,41,87,91,98,56,30,98,0,31,26,72,33,100,99,19,78,82,67,44,56,33,77,81,55,0,96,71,92,85,36,63,92,71,92,80,52,78,77,65,42,80,92,42,86,95,10,97,69,79,99,81,68,22,85,73,49,90,100,71,60,71,93,45,98,58,50,82,16,3,21,16,66,31,90,89,58,64,24,89,69,15,76,49,25,76,37,67,89,95,89,21,74,69,18,100,46,79,71,79,73,71,83,21,98,97,80,62,93,37,10,27,25,59,72,25,74,64,26,16,51,0,82,3,100,81,78,0,88,52,50,26,35,55,58,96,86,94,86,17,55,91,14,96,56,89,65,41,28,42,52,60,92,12,91,97,59,64,31,12,67,100,57,49,70,100,89,89,96,64,47,0,50,88,39,13,86,100,94,55,77,42,12,22,72,95,91,46,87,65,13,63,98,11,94,93,95,57,87,36,65,54,85,27,87,94,26,7,87,38,64,2,97,72,33,58,48,75,60,85,72,86,77,45,58,36,28,35,19,5,48,71,6,78,76,0,52,65,63,86,74,98,39,53,37,100,97,66,0,61,85,54,71,42,65,24,58,6,74,64,29,62,62,80,99,75,42,67,0,18,25,84,97,89,98,50,82,78,54,0
2004-04,20,84,86,48,95,37,99,66,73,32,35,61,15,76,44,84,20,79,26,73,63,56,77,55,62,48,43,84,89,55,69,80,89,46,86,53,69,74,2,86,100,40,89,49,52,42,89,62,85,55,99,90,85,87,34,42,94,32,60,33,79,51,46,30,56,45,35,100,92,54,69,83,4,75,39,66,41,81,77,55,69,99,77,100,60,12,13,13,72,32,58,86,78,29,79,19,86,100,91,18,96,95,99,48,70,98,100,54,100,50,38,43,78,43,60,37,70,79,24,55,82,33,49,56,93,26,66,18,64,72,59,25,95,86,62,83,72,100,89,5,7,44,79,98,0,15,100,20,100,70,90,96,50,21,75,82,91,35,62,55,33,84,72,72,100,50,83,89,60,17,60,76,0,38,90,75,37,79,43,100,97,85,43,36,94,0,27,32,73,35,79,96,24,80,77,80,50,51,34,79,86,81,0,99,74,83,88,34,73,89,75,89,90,57,78,82,65,44,67,93,44,84,91,19,94,61,100,97,73,66,23,96,95,57,53,94,66,55,87,75,56,100,68,49,77,17,0,22,26,85,31,100,75,66,63,20,82,59,15,76,52,23,83,88,95,98,86,88,19,97,69,17,89,50,82,100,77,76,69,95,19,94,88,79,85,74,41,11,28,30,68,72,26,75,58,30,0,54,0,82,4,82,57,70,0,82,63,43,48,34,65,53,93,48,78,85,16,61,96,56,95,62,88,34,45,27,55,54,61,90,17,97,90,50,85,58,15,69,97,57,52,66,87,92,87,96,64,48,0,35,91,46,7,94,31,85,71,41,38,17,25,72,89,74,100,90,75,12,68,87,20,86,85,96,56,55,34,76,85,87,28,83,87,25,20,100,38,62,2,97,69,33,59,25,87,72,74,100,90,85,35,60,35,34,18,24,5,80,56,5,67,92,4,72,68,70,89,100,89,37,61,35,91,91,67,0,62,59,35,73,70,51,26,52,6,99,81,30,37,37,76,91,76,49,82,0,24,34,80,94,98,61,53,100,100,42,0
2004-05,19,91,67,39,80,39,86,64,74,50,49,38,13,75,49,84,20,64,25,79,58,42,86,47,66,41,48,85,88,59,67,73,90,49,83,56,64,71,0,85,88,72,80,40,48,40,78,58,82,49,91,93,85,63,28,39,86,35,63,36,62,53,59,32,50,45,7,83,89,52,52,77,3,96,55,51,38,76,86,54,65,95,67,99,57,25,12,11,64,20,75,66,74,29,76,15,74,78,85,24,91,96,95,48,82,92,89,55,47,55,37,73,87,41,55,33,80,76,22,36,84,37,60,54,100,32,65,19,59,71,59,27,97,81,63,79,47,40,88,6,7,36,57,82,0,16,97,22,89,54,76,88,50,22,80,87,93,32,46,65,26,76,51,80,76,41,90,84,57,16,57,77,0,39,100,68,37,82,33,75,83,92,0,32,87,0,22,28,70,36,75,93,19,68,76,48,56,44,30,70,80,60,0,97,66,80,78,36,66,82,73,86,51,61,79,62,65,40,66,92,35,78,89,9,89,61,81,86,68,38,38,80,81,53,49,92,61,64,48,89,51,84,71,47,92,16,0,22,19,69,29,67,68,61,62,7,72,48,10,71,54,14,74,100,73,89,83,84,30,74,67,15,76,47,74,75,82,67,61,79,23,100,84,100,21,78,41,7,29,17,60,96,31,73,63,29,11,56,0,71,4,77,25,66,0,81,58,48,48,33,69,56,82,44,62,83,15,48,78,53,89,56,80,0,38,27,52,50,55,72,15,89,86,48,43,77,16,68,99,55,51,75,76,85,87,87,73,46,0,53,85,47,10,79,61,77,61,44,35,12,15,82,86,68,51,88,86,14,67,79,14,80,75,76,56,50,31,71,36,90,36,76,69,26,20,84,40,100,2,90,48,35,58,22,89,69,73,81,78,77,39,57,32,32,0,16,5,62,48,6,61,93,3,61,64,79,68,63,99,31,53,36,79,100,62,0,63,76,26,73,44,56,26,52,6,72,35,28,42,42,74,88,78,44,67,0,15,27,71,87,87,77,52,91,69,36,0
2004-06,22,96,90,40,92,58,81,70,76,41,50,77,14,85,53,89,21,53,28,87,66,61,86,58,70,62,91,90,90,59,56,73,58,53,84,87,79,89,0,88,95,68,99,35,60,45,92,98,97,56,97,85,87,81,36,42,81,36,61,37,81,60,34,34,62,44,7,88,93,65,69,81,4,99,50,44,43,80,91,57,64,96,74,37,74,23,14,15,88,36,100,72,82,27,74,19,86,92,97,47,100,92,99,50,77,100,97,54,81,43,36,73,81,49,59,30,30,83,30,40,84,39,49,100,76,19,64,17,64,78,53,33,81,79,67,80,54,73,90,7,7,50,96,88,7,21,97,22,95,60,85,96,52,18,77,87,91,37,40,53,27,77,50,100,68,44,96,80,65,23,55,73,0,42,93,77,43,75,49,99,94,78,37,31,88,0,32,31,66,38,84,97,22,70,77,86,56,26,33,70,88,60,0,99,78,86,89,33,69,84,74,90,100,60,80,79,61,45,87,94,47,99,93,32,93,67,75,90,66,41,60,76,100,59,38,90,75,72,41,75,53,88,73,39,94,16,0,21,15,77,33,72,84,60,68,18,75,62,14,100,52,15,87,31,88,100,73,92,24,66,75,16,91,45,92,75,82,70,66,100,16,89,86,79,21,78,22,9,22,21,59,89,36,76,58,26,0,53,0,92,4,76,40,65,0,72,58,50,26,32,64,66,95,44,73,78,17,50,100,39,100,98,84,29,45,28,62,58,53,96,18,93,77,51,78,59,17,70,96,61,64,75,86,80,88,95,75,52,0,30,96,50,21,95,61,71,70,51,38,13,24,83,87,64,74,86,92,19,87,88,30,83,72,89,64,45,40,100,44,90,24,69,100,27,24,87,45,66,2,88,59,35,60,11,83,71,74,100,80,82,36,58,27,30,16,20,6,64,56,7,79,94,3,66,72,78,77,59,97,32,56,40,91,96,66,8,71,100,32,80,56,66,27,49,7,100,74,31,21,21,73,90,82,50,52,0,12,30,81,90,95,90,56,93,80,46,0
2004-07,20,94,100,38,100,52,82,69,77,38,58,65,15,83,51,94,22,59,29,93,60,64,88,58,76,43,53,84,89,58,74,76,64,51,84,69,87,80,0,88,92,68,86,33,65,47,82,79,91,66,99,89,85,99,48,43,82,35,63,41,100,72,35,36,61,41,8,92,89,38,58,81,4,85,52,52,45,66,85,63,64,92,73,47,47,16,15,15,73,42,44,73,82,32,77,20,82,75,95,33,85,86,94,52,81,98,77,54,35,45,35,68,83,50,68,39,42,79,27,40,100,41,50,52,100,25,61,13,68,70,55,33,86,74,68,75,56,54,92,5,6,45,77,89,8,23,94,20,91,60,76,100,57,17,94,78,100,37,28,42,29,84,39,84,69,39,86,87,60,28,55,76,0,43,41,78,38,80,43,83,78,90,0,31,90,0,29,31,66,38,85,99,26,66,77,68,52,48,34,76,84,71,0,100,72,83,88,45,71,74,74,90,51,62,79,62,51,39,93,81,42,89,95,24,94,55,71,90,69,42,39,90,87,60,53,92,77,64,100,68,59,93,69,44,93,17,0,23,16,82,33,71,88,71,62,100,67,68,15,71,55,19,90,99,71,76,60,96,27,96,79,19,77,44,98,87,90,70,71,94,15,84,85,77,33,71,100,7,22,18,65,100,24,82,59,37,0,54,0,92,4,82,62,66,0,74,57,53,44,36,73,65,94,34,73,82,20,49,78,66,99,74,88,45,46,33,62,57,49,91,11,94,86,56,81,77,20,69,96,68,50,72,87,75,90,99,86,47,0,24,98,47,6,84,35,69,52,37,36,12,46,75,87,86,33,93,100,15,89,88,24,88,69,87,67,44,36,67,53,100,31,65,79,28,18,78,45,61,2,84,60,39,57,23,87,72,71,90,74,83,35,61,26,28,25,19,7,62,69,7,87,94,4,72,71,80,69,57,93,41,59,36,67,90,62,0,74,72,25,86,38,71,28,53,6,82,68,32,66,66,79,83,88,51,54,0,18,33,74,87,86,66,57,91,88,38,0
2004-08,23,90,91,41,84,66,85,66,73,44,55,85,16,83,46,92,22,71,30,100,60,66,90,50,82,37,44,80,83,62,80,85,88,52,84,89,84,76,0,91,95,50,96,32,100,51,86,100,90,63,90,79,92,87,42,45,80,37,66,39,93,68,38,40,52,53,10,84,86,42,63,90,5,78,65,58,46,71,77,61,64,98,79,54,53,27,14,16,81,16,64,72,87,29,81,19,100,95,95,23,77,92,92,61,86,93,84,58,60,39,39,52,85,55,64,34,39,82,30,47,86,42,76,51,87,30,69,16,70,71,46,39,82,73,67,65,64,69,100,7,7,54,69,100,0,20,91,30,88,59,80,94,57,14,97,81,87,37,26,42,33,83,46,81,73,37,82,93,71,30,58,74,0,46,53,80,40,85,41,85,77,83,72,35,89,0,25,32,75,36,83,100,48,65,77,80,53,61,34,76,100,64,7,100,75,77,93,37,70,89,76,92,68,60,76,71,63,39,83,91,43,100,97,20,95,57,80,79,77,44,71,78,85,73,57,92,66,65,60,72,57,89,61,45,80,20,0,23,21,66,36,67,90,68,65,52,72,82,17,74,52,19,87,84,100,96,74,96,22,89,81,18,87,42,97,71,84,70,79,89,23,82,87,78,51,88,43,2,21,21,60,90,27,81,75,36,10,70,0,100,4,69,67,76,0,75,56,49,44,35,87,72,90,64,87,88,17,70,74,42,97,96,85,47,43,33,52,62,47,91,20,94,82,64,100,51,18,69,88,87,54,62,83,77,94,100,78,53,0,65,90,53,15,84,53,65,67,68,34,14,80,89,85,100,76,95,95,12,98,84,17,90,97,81,64,60,38,68,28,87,29,82,100,27,26,97,51,57,1,83,50,41,63,21,77,52,86,74,70,81,36,61,35,29,41,25,7,78,47,7,58,98,3,71,72,85,78,57,88,45,51,38,77,90,61,0,77,34,23,83,50,58,29,51,6,82,63,33,51,51,82,92,87,51,60,0,28,23,86,88,82,62,58,83,74,45,0
2004-09,17,77,80,38,85,64,84,62,81,45,70,80,16,77,49,84,23,74,31,83,71,32,78,46,82,37,47,92,87,63,66,77,89,46,88,59,81,78,0,87,95,39,92,35,79,47,84,73,86,58,95,76,95,65,48,41,88,35,51,35,67,52,32,35,58,42,9,83,79,38,56,78,6,79,45,71,43,86,77,57,59,100,83,94,55,22,15,11,88,28,65,60,79,32,79,15,97,77,83,21,83,99,92,54,81,94,76,56,58,50,35,43,100,51,62,32,36,78,30,40,78,36,79,69,67,28,56,15,64,75,48,26,77,72,66,67,62,95,90,5,7,44,83,93,6,13,89,25,84,53,91,100,55,21,68,90,90,38,35,38,34,69,44,71,78,34,73,81,59,21,52,74,0,44,69,77,39,78,44,92,78,94,100,31,90,0,18,28,80,32,72,97,18,75,74,73,67,55,31,75,89,63,0,88,76,79,83,38,76,84,71,94,83,56,83,70,66,40,53,79,60,92,97,25,97,60,86,80,68,42,35,84,81,58,55,94,71,68,72,68,49,93,71,29,90,16,0,22,14,61,31,74,88,63,55,18,66,69,12,63,51,21,83,50,82,75,79,88,22,84,78,19,81,42,83,62,81,87,66,92,25,87,85,79,19,81,49,2,23,19,59,85,32,77,56,32,0,70,0,82,4,76,61,100,0,78,52,41,50,35,59,53,91,32,60,85,17,51,84,64,98,82,87,51,35,30,46,58,56,87,15,95,87,58,53,79,20,69,80,62,65,49,82,99,87,81,60,55,0,53,86,43,10,81,42,61,44,47,38,7,43,80,86,75,59,89,68,12,69,88,13,86,73,65,57,68,33,68,39,78,42,100,68,28,33,87,55,57,2,85,50,36,65,24,100,65,100,90,65,68,41,60,30,28,14,26,6,76,76,6,44,87,0,64,69,78,83,44,85,34,52,37,85,100,61,0,71,54,29,77,50,76,26,48,6,82,54,30,56,56,79,87,84,49,67,0,15,26,77,91,84,88,57,82,76,37,0
2004-10,18,76,80,40,73,46,76,58,79,42,45,52,19,77,43,78,23,64,30,77,65,50,56,39,68,38,46,80,84,58,54,84,78,45,88,42,84,78,0,83,88,44,87,39,59,46,76,73,79,52,97,77,84,100,45,39,85,33,47,35,60,48,24,34,54,40,8,79,77,53,59,89,5,90,46,93,44,81,92,52,55,99,72,57,62,18,12,13,88,29,77,64,70,25,71,18,86,98,93,29,56,82,90,55,79,94,88,60,47,48,36,36,90,47,52,29,46,92,27,76,78,38,54,54,93,32,57,19,59,72,56,38,76,70,61,77,65,47,88,7,7,42,53,91,6,12,93,21,77,57,74,93,57,22,80,93,92,34,24,47,34,70,58,63,76,38,71,63,61,11,57,76,0,38,42,73,47,67,48,79,77,81,0,29,87,0,23,26,78,30,64,96,18,83,75,100,53,47,37,93,84,100,13,72,89,74,78,41,75,76,68,93,66,50,93,65,68,39,57,70,36,84,94,30,89,62,81,73,58,40,36,80,84,57,51,93,68,71,31,68,53,75,72,32,77,20,0,23,22,75,33,74,76,64,70,17,64,71,8,69,45,15,77,74,65,58,64,84,100,50,69,20,88,47,78,66,72,100,66,91,30,91,79,75,28,89,71,5,22,8,59,92,36,75,59,30,0,56,0,83,4,78,45,76,0,84,51,50,28,37,64,54,87,62,61,91,25,45,67,35,89,73,85,70,34,35,40,55,53,82,10,96,80,59,63,56,12,68,78,58,54,54,77,92,82,77,54,54,0,48,86,43,12,77,18,57,82,45,38,12,66,73,77,86,68,86,55,12,58,86,20,87,80,80,53,43,36,49,33,75,22,91,80,30,17,79,59,53,3,86,53,37,63,10,97,78,82,83,81,67,38,61,23,25,0,19,6,67,57,7,61,80,0,67,66,73,89,58,79,36,56,39,84,93,53,0,66,59,28,74,36,54,27,50,6,84,71,30,48,48,79,81,83,46,50,0,19,25,73,88,90,86,58,84,73,21,0
